"Beer", "Style"
"Evil Genius I Love Lamp","jawn"
"Breckenridge Vanilla Porter","Adam.jpg"
"Otter Creek Winter","something cool"
"Harpoon Ufo White","silly style"
"Ommegang Witte","ballpit"
"Flying Dog Snake Dog Ipa","Keith Stone"
"Southern Tier Cinnamon Roll","catch me outside"
"Free Will Ralphius","arugula"
"Neshaminy Creek Fruhstuck Coffee Stout","jawn"
"Locust Lane Ipa","ballpit"
"Port Brewing Tropical & Juicy","arugula"
"Liquid Hero Triple Og Trippel","ballpit"
"Evil Genius Bye Felicia","what is life"
"Knee Deep Brewing Bushel Peach Wheat","capstone"
"Neshaminy Creek Creekfestbier","Keith Stone"
"Brew Works Devious Bourbon","Uncle Bob"
"Nebraska 311 Amber","dunder"
"Lord Hobo Consolation Prize","arugula"
"Yards Washington Tavern Porter","catch me outside"
"Dogfish Lupu-Luau","Uncle Bob"
"Rusty Rail Fools Gold","what is life"
"Weyerbacher 22Nd Anniversary","arugula"
"Stoudts Cherry Hefeweizen","arugula"
"Rivertowne Hala Kahiki","silly style"
"Kona Wailua Ale","what is life"
"Brew Works Golden Ale","what is life"
"Weyerbacher Paradise","capstone"
"Modern Times Booming Rollers Ipa","Adam.jpg"
"Platform Elevated Hop Ramble","dunder"
"Weyerbacher Double Ipa #4","Adam.jpg"
"Southern Tier Pumking *Rum Barrel Aged*","justforkingaround"
"Mia Chango","what is life"
"Flying Dog Tamarind","something cool"
"Sly Fox 360 Ipa","capstone"
"Golden Road Wolf Pup","Keith Stone"
"Carton Idipa","Adam.jpg"
"Rivertowne Marshall Smells Like Poo","silly style"
"Clown Shoes Undead Party","dunder"
"Yards Russian Imperial Bourbon","ballpit"
"Flying Monkey Heart Raspberry","Uncle Bob"
"Dogfish Saison Du Buff","Keith Stone"
"Rusty Rail Side Track #16 Multi Gigantic Ipa","catch me outside"
"Long Trail Standout Pale Ale","justforkingaround"
"Stillwater Superhop 1/6 Keg","catch me outside"
"Heavy Seas The Alpha Effect","Keith Stone"
"Yards Washington Reserve","Uncle Bob"
"Neshaminy Creek Tribute Tripel","jawn"
"Jacks Abby Ba Framinghammer","Keith Stone"
"Half Acre Navaja","justforkingaround"
"Peak Ipa","catch me outside"
"Jacks Abby Sunny Ridge Pils","something cool"
"Knee Deep Brewing Tanilla","what is life"
"Defiance Happy Feet","what is life"
"Rivertowne Lab Rat Jfp Porter","something cool"
"Victory Homegrown Lager","arugula"
"Long Trail Vision Pale Ale","Adam.jpg"
"Sly Fox Pughtown Porter","jawn"
"Locust Lane Experimental #5","ballpit"
"Newport Storm Rhode Trip Neipa","Keith Stone"
"Southern Tier Imperial Blueberry Tart","justforkingaround"
"Melvin Brewing 2X4 Dipa","Uncle Bob"
"Levante Modern Savage Ipa","dunder"
"Neshaminy Creek Fade To Dopplebock","catch me outside"
"Manayunk Rise & Grind Red Eye","Adam.jpg"
"Rusty Rail Fog Monster Neipa","jawn"
"Sierra Nevada Bigfoot","justforkingaround"
"Great Lakes Cloud Cutter","what is life"
"Bronx Built For This","dunder"
"Bronx Holy Citrus","Adam.jpg"
"Stone Scorpion Bowl","justforkingaround"
"Against The Grain Maple Bockin Pastries","ballpit"
"Connecticut Valley Trail Blazer","Keith Stone"
"Cigar City Lager","catch me outside"
"Crystal Ball Coconut Porter","justforkingaround"
"Stillwater On Fleek 1/6 Keg","justforkingaround"
"Smuttynose Rocky Road","something cool"
"Kentucky Bourbon Ale","ballpit"
"Evolution Pinehopple","capstone"
"Springhouse Big Gruesome 1/6","silly style"
"Saucony Creek Kutztown Lager","Uncle Bob"
"Victory Vital Ipa","ballpit"
"Sierra Nevada Tropical Ipa","Uncle Bob"
"Free Will Kragle Ipa","Uncle Bob"
"Maine Weez Ipa","catch me outside"
"Duclaw Morgasm","ballpit"
"Goose Island Sofie","justforkingaround"
"Yards Saison","capstone"
"Green Flash West Coast Ipa","silly style"
"Smuttynose Old Brown Dog","Adam.jpg"
"Saranac Blonde","Keith Stone"
"Shock Top Lemon","catch me outside"
"Sixpoint Sweet Action","capstone"
"Brew Works Lvbw Winner","justforkingaround"
"Penn Pilsner","Uncle Bob"
"Magic Hat Single Chair","justforkingaround"
"Weyerbacher Heresy","arugula"
"Left Hand Milk Stout","silly style"
"Brew Works Bagpipers Scotch Ale","Adam.jpg"
"Yards Loral Lager","what is life"
"Stoudts Schwartzbier","catch me outside"
"Brew Works Bourbon Barrel Devious","Uncle Bob"
"Sierra Nevada Narwhal","what is life"
"Anzalone Special Lager Beer","ballpit"
"Lake Placid Golden Ubu Ale","what is life"
"Dogfish Liquid Truth Serum","what is life"
"Coronado Ricochet Ipa","justforkingaround"
"Neshaminy Creek Neshaminator Wheat Bock","Adam.jpg"
"Captain Lawrence Palate Shifter","what is life"
"Foreign Objects In The Gold Dust Rush","something cool"
"Blue Moon Pacific Apricot Wheat","ballpit"
"Flying Dog Xmas Day Ipa","what is life"
"New Belgium Honey Tripel","something cool"
"Breckenridge Imperial Plum","justforkingaround"
"Port Brewing Citra & Simcoe","capstone"
"St Boniface Paideia","something cool"
"Southern Tier Raspberry White","Keith Stone"
"Manayunk Rise & Grind","Uncle Bob"
"Funk Royal Rumble","jawn"
"Against The Grain Found Word","Adam.jpg"
"Foreign Objects Wet Gravity","Adam.jpg"
"Boulevard Tank 7","arugula"
"Fat Head Trip","Keith Stone"
"Cigar City Oatmeal Raisin Cookie","jawn"
"Von Trapp Bock Bier","catch me outside"
"Sly Fox Vulpulin Ipa","arugula"
"Evil Genius I'Ll Have Hat Shes Having","capstone"
"Captain Lawrence Meltwater Ipl","capstone"
"Sam Adam Rebel Juiced Ipa","silly style"
"Bear Republic Hop Shovel","what is life"
"Captain Lawrence Golden Delicious","dunder"
"Defiance Fuzzy Knuckles","capstone"
"Brew Works Framboise","justforkingaround"
"Flying Dog Barrel Aged Gonzo","what is life"
"Flying Dog Tropical Bitch","capstone"
"Lancaster Cerebrus Rum","capstone"
"Wyndridge Double Ipa","what is life"
"New Holland Dragon Milk Stout","silly style"
"The Colony Meadery Tea Tax","ballpit"
"Neshaminy Creek Coconut Mudbank","Uncle Bob"
"Neshaminy Creek Winter Wheatwine","Keith Stone"
"Weyerbacher Cinnsanity","what is life"
"Hardywood Quadrahop","Adam.jpg"
"Hardywood Singel & Hoppy","ballpit"
"Magic Hat Mother Lager","jawn"
"Blue Moon Summer Honey","arugula"
"Ommegang Mosaic Hennepin","ballpit"
"Neshaminy Creek And Justice For Alt","Uncle Bob"
"Hardywood Great Return Dipa","Uncle Bob"
"Modern Times Accumulated Knowledge","Keith Stone"
"Weyerbacher 2015 Blasphemy","Keith Stone"
"Weyerbacher 2015 Insanity","Keith Stone"
"Wiens Brewing Fortune Teller Mosaic Citra","dunder"
"Knee Deep Brewing Simtra","Keith Stone"
"Modern Times Fortunate Islands","arugula"
"Oskar Blues Hotbox Roasters Porter","Uncle Bob"
"Free Will Pilsner","catch me outside"
"Smuttynose Double Ipa #4","Adam.jpg"
"Manayunk Hopgasm","Adam.jpg"
"Cigar City Marshal Zhukov Imperial Stout","jawn"
"Alesmith Thai Speedway Stout","jawn"
"Bear Republic Apex","jawn"
"Shorts Slurm Lord","what is life"
"Lonerider Sundance","Adam.jpg"
"Brew Works Apocalypse","justforkingaround"
"Lancaster Lemon Blueberry Shandy","ballpit"
"Mispillion River Pineapple Express","something cool"
"New Belgium Juicy Watermelon Lime","dunder"
"Free Will Techno Ipa","justforkingaround"
"Brew Works Blueberry Belch","silly style"
"Sterling Pig Orange Street Wheat","justforkingaround"
"Sterling Pig Big Gunz Dipa","capstone"
"Brooklyn Summer","capstone"
"Flying Fish Exit 4","Keith Stone"
"Southern Tier Pumking","jawn"
"Goose Island Matilda","catch me outside"
"Victory Swing Saison","ballpit"
"Stone Enjoy By","justforkingaround"
"Ithaca Flower Power","ballpit"
"Two Bros Heavy Handed","jawn"
"Two Bros Northwind Imperial Stout","Adam.jpg"
"Southern Tier Ipa","ballpit"
"Sierra Nevada Torpedo","capstone"
"Shock Top Pumpkin","arugula"
"Lancaster Milk Stout","justforkingaround"
"Heavy Seas Loose Cannon","Uncle Bob"
"Weyerbacher Double Simcoe","jawn"
"Stoudts American Pale","silly style"
"Yards Philadelphia Pale","jawn"
"Breckenridge Summer Ale","catch me outside"
"Brooklyn Brown Ale","catch me outside"
"Ballast Point Grunion","Uncle Bob"
"New Belgium Ranger","dunder"
"Weyerbacher Tarte Nouveau","jawn"
"Liquid Hero Irregarldess Ipa","what is life"
"North Coast Pranqster","catch me outside"
"Victory Selene Saison","silly style"
"Lancaster Boss Hog Dipa","justforkingaround"
"Oskar Blues Mamas Yella Pils","ballpit"
"Ballast Point Coconut Victory At Sea","justforkingaround"
"Weyerbacher Sunday Mole Stout *2016*","capstone"
"Dogfish Palo Santo Marron","jawn"
"Southern Tier Choklat","catch me outside"
"Wyndridge","jawn"
"Conshohocken Wings Of Steel Barleywine","Keith Stone"
"Flying Monkey Juicy Ass Ipa","capstone"
"Sterling Pig Schweintoberfest","catch me outside"
"Weyerbacher Dallas Sucks","Adam.jpg"
"Brew Works Bourbon Barrel Rude Elf","something cool"
"Free Will Special Cookie","arugula"
"Victory Mighty Things","dunder"
"Von Trapp Trosten","Adam.jpg"
"Robin Hood Brewing Frost Ipa","capstone"
"Mia Hrd Wtr Cucumber","Keith Stone"
"Newport Storm Winter Porter","capstone"
"Manayunk Yunkin Punkin","Adam.jpg"
"Platform Orange Blossom","arugula"
"Sly Fox Helles","catch me outside"
"Robin Hood Brewing Blueboary Wheat","dunder"
"Rivertowne Lab Rat Watermelon Lager","Keith Stone"
"Saugatuck Blueberry Lemonade Shandy","something cool"
"Dark Horse Homo Sapien Cherry","silly style"
"Brew Works Knuckleball","catch me outside"
"Alesmith Logical Choice","silly style"
"Hardywood Bourbon Sidamo","jawn"
"Cigar City Marshal Zhukov Penultimate Push","Keith Stone"
"Devils Backbone 8 Point Ipa","justforkingaround"
"Manayunk Dragonfly Ipa","justforkingaround"
"Smuttynose India Schwartz","arugula"
"Weyerbacher Berry Monks","Uncle Bob"
"Lancaster Dopplebock","justforkingaround"
"Kentucky Blackberry Porter","what is life"
"Naked Brewing Pink Bunny","arugula"
"Perenial Blonde","Adam.jpg"
"Peak Winter Session","arugula"
"Robin Hood Brewing Blooming Springs","jawn"
"Captain Lawrence Hopsomniac","catch me outside"
"Saucony Creek Daltons Ride Home","dunder"
"Kentucky Bourbon Raceday Ipa","catch me outside"
"Nickel Brook Uncommon Element","arugula"
"Captain Lawrence Seeking Alpha","what is life"
"Evolution Summer Session","catch me outside"
"Knee Deep Brewing Tater Hops","capstone"
"Newport Storm Annual 16","catch me outside"
"Dark Horse Rail La Spar","silly style"
"North Country Stinky Hippie Pale Ale","something cool"
"Southern Tier Lemon Drop","catch me outside"
"Evil Genius New Phone Who Dis?","Uncle Bob"
"Brooklyn Naranjito","capstone"
"Sly Fox Dunkel Lager","jawn"
"Brew Works Always Sunny Pale Ale","arugula"
"Great Lakes Holy Mose White Ale","catch me outside"
"Sierra Nevada Trip In The Woods Maple Scotch","catch me outside"
"Neshaminy Creek This Is  Not The New Neshaminy Creek","jawn"
"Levante Scyther Neipa","arugula"
"Sly Fox Alexs Lemonade Wheat","Adam.jpg"
"Locust Lane Experimental #5.2","ballpit"
"Oliver Cherry Blossom","capstone"
"Neshaminy Creek Dummes Dunkel Lager","Uncle Bob"
"Nebraska Hop God","Adam.jpg"
"Tommy Knocker Palisade Peachwood Cream Ale","catch me outside"
"Oskar Blues Pinner Ipa","ballpit"
"Redhook Audible Ale","something cool"
"Saucony Creek Stonefly","ballpit"
"Great Lakes Commodore Perry","justforkingaround"
"Flying Fish Exit 16","something cool"
"Magic Hat Blind Faith","justforkingaround"
"Riverhorse Double Wit","Adam.jpg"
"Goose Island Honkers","justforkingaround"
"Left Hand Blackjack Porter","what is life"
"Two Bros Sidekick","Adam.jpg"
"Evil Genius Forsaken","arugula"
"Stoudts Fourplay Ipa","something cool"
"Leinenkugel Oktoberefst","arugula"
"Stoudts Double Ipa","catch me outside"
"Oskar Blues Deviant Dales Ipa","justforkingaround"
"Flying Fish Grand Cru","Adam.jpg"
"Lancaster Hop Hog Ipa","something cool"
"Stone Go To Ipa","silly style"
"Yards Golden Hop","Uncle Bob"
"Troegs Solid Sender","jawn"
"Springhouse Goofy Foot 1/6","justforkingaround"
"Shock Top Apple","capstone"
"Susquehanna 6Th Generation Ale","Keith Stone"
"Free Will Destinys Wit","silly style"
"Saucony Creek X-Imp Vanilla Porter","jawn"
"Almanac Coffee Barbary Coast","capstone"
"Sierra Nevada Sidecar Orange Pale Ale","what is life"
"Avery Real Peel Ipa","ballpit"
"Dogfish Siracusa Nera","jawn"
"Knee Deep Brewing Breaking Bud","jawn"
"Alesmith Speedway Stout","ballpit"
"Sole Pain Of Wisdom","dunder"
"Captain Lawrence Grapefruit Effortless Ipa","Uncle Bob"
"Evolution Lot #6","jawn"
"Dogfish Seaquench","silly style"
"Two Roads Ol Factory Pils","capstone"
"Lancaster Baked Pumpkin","justforkingaround"
"D9 Hakuna Matata Tropical Ipa","jawn"
"Stoudts Hobo Ed Imp Coffee Porter","Uncle Bob"
"Lord Hobo Hobo Life","arugula"
"Dogfish Pa Tuxedo","justforkingaround"
"Dogfish Sixty One","arugula"
"Straub 1872","Keith Stone"
"Weyerbacher Meaner Squeeze","capstone"
"Long Trail Hibernator","ballpit"
"Coronado Early Bird","jawn"
"New Belgium Le Terrior","silly style"
"Cigar City Cafe Con Leche","Adam.jpg"
"Captain Lawrence Smoke From The Oak","Uncle Bob"
"Sly Fox Black Raspberry","justforkingaround"
"Sly Fox Lunar Sparkles","catch me outside"
"Kentucky Bourbon Tequilla Barrel Mole","dunder"
"Sam Adam Ne Ipa","catch me outside"
"Doc G'S Aged Flap Jack","arugula"
"Breckenridge Ba Imperial Vanilla Porter","Uncle Bob"
"Stoudts Old Abominable 1/6 Keg","Adam.jpg"
"Weyerbacher Simcloud Ipa","justforkingaround"
"Captain Lawrence Powder Dreams","what is life"
"Evil Genius New Phone Who Dis","Keith Stone"
"Sterling Pig Piggy Stardust","arugula"
"Terrapin T-Time","ballpit"
"Leinenkugel Orange Shandy","silly style"
"Southern Tier Cold Pressed Coffee Pumking","arugula"
"Southern Tier Pumking Barrel Aged","Keith Stone"
"Appalachian Mountain Lager","Keith Stone"
"Aspen This Seasons Blonde","Uncle Bob"
"Mia Hrd Wtr Blueberry","silly style"
"Mia Hrd Wtr Grapefruit","something cool"
"Smuttynose Pinniped Special","Uncle Bob"
"Sterling Pig This Little Piggy Cascade","what is life"
"Tall Tales Paul Bunyon Belgian Strong","what is life"
"Rusty Rail Raspberry Blonde","Adam.jpg"
"Duck Rabbit Schwarzbier","Adam.jpg"
"Sly Fox Macht Schnell Kolsch","ballpit"
"Victory Hoppy Quad","Keith Stone"
"Sterling Pig Pata Negra","what is life"
"Sterling Pig Snuffler","Uncle Bob"
"Flying Dog Single Hop Calypso","Keith Stone"
"Wiens Brewing Deadpan Pilsner","something cool"
"Ommegang Calypso Hennepin","Keith Stone"
"Robin Hood Brewing Longbow Double Ipa","silly style"
"Manayunk Dreamin Double","jawn"
"Sam Adam Chai Ipa","catch me outside"
"Flying Dog Sob","ballpit"
"Stoudts Vanilla Porter","dunder"
"Rusty Rail Swing Tree Spring Seasonal","Adam.jpg"
"Dc Brau Wings Armageddon","silly style"
"Evil Twin Citra Sunshine Slacker","catch me outside"
"Dogfish Old School Barleywine","Keith Stone"
"Cigar City Guayabera Citra Ale","dunder"
"Alesmith Horny Devil","Keith Stone"
"Almanac Sunshine Opportunity","justforkingaround"
"Almanac Valley Hearts","Adam.jpg"
"Left Hand Travelin Light","arugula"
"Springhouse Citra Must Be Destroyed 1/6","Adam.jpg"
"Great Lakes Conways Irish Ale","dunder"
"Rivertowne Lab Rat Blueberry Ipa","justforkingaround"
"Goose Island Rambler","arugula"
"Brooklyn Post Road Pumpkin","dunder"
"Two Bros Outlaw Ipa","arugula"
"Ommegang Hennepin","jawn"
"Dundee Nut Brown","jawn"
"Victory Anniversary 20Th Ipa","silly style"
"Flying Dog Horn Dog Barleywine","jawn"
"Sly Fox Christmas","silly style"
"Troegs Blizzard Of Hops","Uncle Bob"
"Southern Tier Creme Brulee","what is life"
"Kona Fire Rock","what is life"
"Anderson Valley Winter","Uncle Bob"
"Susquehanna Golden Lager","what is life"
"Southern Tier Harvest","Keith Stone"
"Blue Point Toasted Lager","what is life"
"Atwater Vanilla Java Porter","silly style"
"Left Hand Fade 2 Black","Adam.jpg"
"Stoudts Fat Dog Stout","catch me outside"
"Harpoon Octoberfest","dunder"
"Weyerbacher Autumnfest","Uncle Bob"
"Jacks Abby Copper Legend Fest","arugula"
"Two Roads Lil Heaven Ipa","silly style"
"Victory Moonglow","Uncle Bob"
"Singlecut Beersmiths Heavy Boots Of Lead","arugula"
"New Belgium Black Lager","arugula"
"Traveler Jolly","justforkingaround"
"Weyerbacher Tiny","jawn"
"Goose Island Winter","ballpit"
"Long Trail Limbo","catch me outside"
"Victory Agave Ipa","what is life"
"Hardywood Gingerbread","silly style"
"Ballast Point Victory At Sea","capstone"
"Lake Placid Big Slide 1/6 Keg","capstone"
"Saucony Creek Hexerei","justforkingaround"
"Liquid Hero Extended Stay Ipa","justforkingaround"
"Stone Ruination Ipa","catch me outside"
"Funk Eflorescence Saison","catch me outside"
"Blue Moon First Peach","capstone"
"Evolution Dereks Day","something cool"
"Free Will Vienna Lager","dunder"
"Hermit Thrush Party Guy Ipa","catch me outside"
"Lord Hobo Boom Sauce","catch me outside"
"Lord Hobo Glorious","jawn"
"Neshaminy Creek Croydon Is Burning","Adam.jpg"
"Sterling Pig This Little Piggy Centennial","catch me outside"
"Breckenridge Barrel Aged Imperial Cherry Stout","what is life"
"Weyerbacher Tiny In Port Barrels","jawn"
"Flying Fish Exit 12 Maibock","something cool"
"Manayunk Mango Day Dreamin","Adam.jpg"
"Smuttynose Hatchling Ipa #1","justforkingaround"
"Unibroue La Fin Du Monde","Adam.jpg"
"2Sp Velcrop Fweak","catch me outside"
"Manayunk The Hive","catch me outside"
"Modern Times Blazing World Amber","Keith Stone"
"Smuttynose Orville","ballpit"
"Springhouse Braaaiins 1/6","ballpit"
"Conshohocken Blood Money Ipa","ballpit"
"Two Roads Rye 95","what is life"
"Great Lakes Grandes Lagos","arugula"
"Weyerbacher Finally Legal","ballpit"
"Carton Hoppun","Adam.jpg"
"Evil Genius Purple Monkey Dishwasher","justforkingaround"
"Oskar Blues Hotbox Coffee Ipa","ballpit"
"Nickel Brook Raspberry Uber","Keith Stone"
"Devils Backbone Vienna Lager","catch me outside"
"Devils Backbone Cattywompus","ballpit"
"Speak Easy Blood Orange Dbl Daddy","what is life"
"Starr Hill Reviver Red Ipa","Adam.jpg"
"Brew Works Bourbon Imperial Coffee","what is life"
"Flying Dog Numero Uno","something cool"
"Alesmith Numbskull","what is life"
"Dark Horse Plead The 5Th","capstone"
"Bear Republic Zut Alors","silly style"
"Free Will Lord Business","Uncle Bob"
"Victory Sour Monkey","silly style"
"Ballast Point Manta Ray Dipa","ballpit"
"Magic Hat Barroom Hero","something cool"
"Evil Genius Never Gonna Give You Up","what is life"
"Old Forge Hype Juice","silly style"
"Levante Dewdrop Wit","Keith Stone"
"Wiseacre Neon Brown","catch me outside"
"Alesmith My Bloody Valentine","Adam.jpg"
"Brew Works Irish Soda Bread","arugula"
"Southern Tier Imperial Grape Gose","silly style"
"Kentucky Bourbon College Heights Ipa","what is life"
"Nickel Brook Ceres","capstone"
"St. Benjamin Start Today","Keith Stone"
"Stone Loral & Rudis Inevitable","catch me outside"
"Saucony Creek Buckwheat King Cake","something cool"
"Levante Cloudy And Cumbersome","justforkingaround"
"Foreign Objects Pig Factory","what is life"
"Boulevard The Calling","catch me outside"
"Thomas Creek Paz Lager","Adam.jpg"
"Levante The Chief Ipa","silly style"
"Locust Lane Coffee Porter","dunder"
"Stable 12 Crowd Pleaser","Uncle Bob"
"Free Will Ella","justforkingaround"
"Left Hand Juicy Goodness","Adam.jpg"
"Nebraska Gimme Smore","something cool"
"Dogfish Dragons And Yum Yum","ballpit"
"Stoudts Gearshifter Ipa","catch me outside"
"Funk Bishop Bishop Heinrich","something cool"
"Saucony Creek Blackberry Hexerei","silly style"
"Long Trail Harvest","something cool"
"Sly Fox Odyssey","Keith Stone"
"Dogfish Burton Baton","something cool"
